,file,smiles
0,10019190,O1C2=C(C3(C1(C4(C(C(C3(C4([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])C(=C(C(=C2[H])[H])[H])[H]
3,10019275,C1(=NC(=C(C2=C1C(=C(C(=N2)C([H])([H])[H])[H])[H])C#N)N([H])[H])Br
4,20025776,C1(C2=C(N=C(N1[H])N([H])[H])N(N=C2[H])[H])=O
9,20171041,C1(=C(C(=C(C(=C1OC([H])([H])[H])[H])[H])C(C(C(O[H])([H])[H])([H])[H])=O)[H])Cl
10,20026308,C(=C(C(=C(C(Cl)([H])[H])[H])[H])[H])([H])[H]
11,90371,C1(=C(C(=C(C2=C1C(=C(N2C(=O)OC([H])([H])[H])C3(SC(C(C(S3)([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H]
13,10016586,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H]
15,20030841,C1(C(C(OC(C1([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C([H])([H])[H])[H]
17,20146562,C1(=C(C2(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(C2=O)([H])[H])([H])[H])[H])[H])C([H])([H])[H])[H]
18,76791,C1(=C(C(=C(C(=C1N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])C(=O)[H])[H]
22,20182090,C=1(C(=C(C(=C(C1F)F)C#N)F)F)F
24,20026409,C(C(C(C(=O)C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
25,20230600,C(C(C(C(=O)N(O[H])[H])([H])[H])([H])[H])(=O)N(O[H])[H]
26,76427,C1(=NC(C(C1([H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H]
27,20143965,C1(C(C(C(N2C1(C(C(C(C2(C([H])([H])[H])[H])([H])[H])=O)([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
28,10026068,C1(C(C2(C(C1(C(C2([H])[H])([H])N([H])[H])[H])([H])[H])[H])([H])[H])([H])[H]
29,20109337,C=1(OC=2C(C(C(C(C2C1[H])=O)([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])C([H])([H])[H]
30,20181697,C=1(C2=C(C(=C3C1C4(C(C(O3)([H])[H])(C=5C(O4)=C(C6=C(C5[H])OC(O6)([H])[H])[H])[H])[H])[H])OC(=C2[H])[H])[H]
31,20191919,C=1(C2=C(C(=C(C1[H])[H])[H])C(=C3N2C(C(C3(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H]
32,20108981,C=1(C(C2(C(C1[H])(C(C2=O)=C(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])[H]
34,8533,C1(C2(C(C3(C(C(C1([H])[H])([H])[H])(C(C(O3)=O)=C([H])[H])[H])[H])(C(C(C2([H])[H])=O)=C([H])[H])[H])[H])(C([H])([H])[H])O[H]
36,20224306,C=1(C(=C(C(=C(C1[H])C#CC(N(C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C(=O)C([H])([H])[H])[H]
38,20026405,C(C(C(C(Cl)(C(Cl)(C(=O)OC([H])([H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H]
39,21069,C1(N(C(=NC(=C1N([H])[H])N([H])[H])N(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])C([H])([H])[H])=O
40,20242147,C1(=C(C(OC(C1(C=2C(=C(C(=C(C2[H])[H])[H])[H])[H])O[H])(C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])([H])[H])[H])[H]
41,88800,C=1(C(=C(C(=C(C1[H])C(=C(OC(C#C[H])([H])[H])[H])S(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])(=O)=O)[H])[H])[H])[H]
43,10024327,C(=C(Cl)C(=O)OC([H])([H])[H])(C(Cl)([H])[H])C([H])([H])[H]
44,10021281,C1(=C(C(=C(C(=C1[H])N(C(=O)N(C2=C(C(=C(C(=C2[H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C(O[H])=O)[H])[H])[H])[H])C([H])([H])[H])[H])[H])[N+](=O)[O-]
45,10019238,C(C([Se]C(C(C(C(C(C(C(C(OC([H])([H])[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
46,20224151,C1(=NC(=NC(=N1)N(C(C#N)(C([H])([H])[H])C([H])([H])[H])[H])OC([H])([H])[H])N(C(C([H])([H])[H])([H])[H])[H]
47,30100659,C1(=C(C(=C(C2=C1C(=C(N(C2=O)[H])C(OC(C([H])([H])[H])([H])[H])=O)O[H])[H])[H])[H])[H]
48,20224362,C1(C(C(C(C2(C1(C(C(C(C2(C(=C([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])O[H])([H])[H])=O)([H])[H])([H])[H]
49,20030886,C1(C(C(C(C1([H])[H])([H])[H])([H])[H])(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])=O
51,20252986,C1(=C(C(=C(C(=C1[H])C(=C(C(=O)OC(C(C2=C(C(=C(C(=C2[H])O[H])O[H])[H])[H])([H])[H])(C(=O)O[H])[H])[H])[H])[H])O[H])O[H])[H]
