,file,smiles
2,20209844,ClC(Cl)(C(Cl)([H])[H])C#N
52,20199037,N(C(C(C(C(C(C(N(C(C([H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H]
54,20177318,N=1C=2C(C(=NC1[H])N(C=3C(=C(C(=C(C3[H])Br)[H])[H])[H])[H])=C(N=C(C2[H])F)[H]
55,20209352,O(C(C(N(C(C(OC(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H]
63,10021639,C=1(O[H])OC(C([H])([H])[H])(C([H])([H])[H])OC(=O)C1C(=O)N([H])C2=C(C(=C(C(=C2[H])[H])[H])[H])[H]
64,60004113,C1(O[H])(C2(C(C3(C(C4(C(C(C3(O[H])[H])([H])[H])(C(C(O[H])(C(C4([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])(C1([H])[H])[H])[H])(C(C(C2(C(C(C(C(C(C(OS(O[H])(=O)=O)([H])[H])(C(O[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H]
69,60005965,C(C(C(C(C(=C(C(O[H])=O)[H])[H])([H])[H])([H])[H])(OC1(OC(C([H])([H])[H])(C(O[H])(C(C1(O[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H]
72,20198897,O(C(C1=C(C(=C(C(=C1[H])[H])[H])[H])[H])(C(=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H]
91,20026262,C(Cl)(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])([H])[H]
105,20209017,O(C(C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])C(C(O[H])([H])[H])([H])[H]
115,20207361,S(O[H])(=O)(=O)C1=C(C(=C(C([N+]([O-])=O)=C1[H])[H])[H])C([H])([H])[H]
116,20209684,ClC=1C(N(C(=O)C2=C(C=3C(C(=C2O[H])[H])=C(C(=C(C3[H])[H])[H])[H])[H])[H])=C(C(=C(C1[H])[H])[H])[H]
119,20206264,ClC(C(C(C(C(O[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
129,20209788,O(C(C([H])([H])[H])([H])[H])C(=O)C#CC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
137,20206213,O(C(C(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H]
144,20209292,FC(F)(F)C1=C(C(=C(C(=C1[H])[H])C(N([H])[H])([H])[H])[H])[H]
157,10024609,C=1(C(=C(C(=C(C1OC(C(=C([H])[H])[H])([H])[H])Br)[H])[H])[H])[H]
163,10022502,C=1(C(=C(C(=C(C1OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(OC([H])([H])[H])(OC([H])([H])[H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(=O)[H]
166,20209515,O(C(C([H])([H])[H])([H])[H])C(=O)C#CC(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
173,20208851,O(C(C(N(C([H])([H])[H])C(C(O[H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H]
180,20200736,ClC(SC(Cl)([H])[H])([H])[H]
184,10021961,C1(=C(C(=C(C(=C1[H])[H])C(=C(C=2C(C(C(C2C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
203,20111979,C(C(C#C[H])([H])[H])(C([H])([H])[H])(C([H])([H])[H])[H]
204,20055877,C1(C(C(C(C(C(C1([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(N([H])[H])[H]
