,Unnamed: 0.1,index,Unnamed: 0,graph,cnmr,smiles
0,0,0,0,000000234.pickle,000000234.csv,C1(C(C(C2(C(C1([H])[H])(C(C(=C(C2([H])[H])[H])C(=O)[H])(C(=O)[H])O[H])C([H])([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H]
1,1,1,1,000002151.pickle,000002151.csv,C1(C(C2(C3(C1(C(=C(C3(C([H])([H])[H])[H])C(O[H])([H])[H])[H])C([H])([H])[H])C(C(C2(C([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H]
2,2,2,2,000002189.pickle,000002189.csv,[N+]1(=C(C(N(C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[O-]
3,3,3,3,000002190.pickle,000002190.csv,C(=C(C1(C([H])([H])[H])C(C(=C([H])[H])C([H])([H])[H])(C(C(C(C([H])([H])[H])(C([H])([H])[H])[H])(OC(=O)C([H])([H])[H])C(C1([H])[H])(O[H])[H])([H])[H])[H])[H])([H])[H]
4,4,4,4,000002191.pickle,000002191.csv,C(C(O[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])(N(C1(C(C(C2=C(C=3C(C4(C(C(C3[H])([H])[H])(C(C(C4([H])[H])([H])[H])(C(N(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])[H])[H])C([H])([H])[H])C([H])([H])[H])(C(C(C2(C1(C([H])([H])[H])C(O[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])=O
5,5,5,5,000002192.pickle,000002192.csv,C=1(C(=C(C(=C(C1O[H])C([H])([H])[H])O[H])C(=O)OC2=C(C(=C(C(=C2C([H])([H])[H])O[H])C(=O)O[H])C(C([H])([H])[H])=C(C([H])([H])[H])[H])[H])C(C([H])([H])[H])=C(C([H])([H])[H])[H])[H]
6,6,6,6,000002193.pickle,000002193.csv,C1(C(C(=C(C(C(C2(C(C3(C1(O3)C([H])([H])[H])[H])(OC(C2=C([H])[H])=O)[H])[H])([H])[H])(OC(=O)C(C(C([H])([H])[H])(O[H])C(C([H])([H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H])([H])[H])([H])[H]
7,7,7,7,000002194.pickle,000002194.csv,C(C(C(C(S(C(C(C(=O)O[H])(N([H])[H])[H])([H])[H])=O)([H])[H])([H])[H])([H])[H])([H])([H])[H]
8,8,8,8,000002195.pickle,000002195.csv,C=1(C(=C(C(=C(C1OC([H])([H])[H])[H])O[H])C(C2=C(C(=C(C(=C2[H])O[H])[H])O[H])[H])=O)OC3(OC(C(C3(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H]
9,9,9,9,000002196.pickle,000002196.csv,C=12C(=C(C3=C4C1C(=C(C(=C4C(=C(C3=O)[H])[H])[H])[H])C=5C(=C(C(=C(C5[H])[H])[H])[H])O2)[H])OC([H])([H])[H]
10,10,10,10,000002197.pickle,000002197.csv,C=1(C(=O)C(C2(C(C3(C1C(C(C3(C([H])([H])[H])[H])([H])[H])([H])[H])[H])(C2(C([H])([H])[H])C([H])([H])[H])[H])[H])([H])[H])C([H])([H])[H]
11,11,11,11,000002198.pickle,000002198.csv,C1(C2(OC=3C(=C(C=4C=5C(=C(C(=C(C5N(C4C3C(=C2[H])[H])[H])[H])[H])[H])[H])[H])[H])C6=C(C(=C(C(=C6[H])[H])[H])[H])[H])=C(C(=C(C(=C1[H])[H])[H])[H])[H]
