,hnmr,graph,file,smiles
0,020176276.csv,020176276.pickle,020176276,N1(C(=C(C(=C1[H])[H])[H])C(=C(C(C(O[H])([H])[H])([H])[H])C(O[H])([H])[H])[H])C([H])([H])[H]
2,020000123.csv,020000123.pickle,020000123,C1(C(=C(C(C(=C1C([H])([H])[H])[H])=O)[H])C([H])([H])[H])=O
3,020096850.csv,020096850.pickle,020096850,C(=C(C(OC(=O)C(Cl)([H])[H])([H])[H])[H])([H])[H]
4,010016037.csv,010016037.pickle,010016037,C1(C(S1)([H])[H])([H])[H]
10,020103731.csv,020103731.pickle,020103731,C1(=O)C(=C(C(C(C(C(C(=C(C(C([H])([H])[H])([H])[H])[H])C([H])([H])[H])(OC(C(C([H])([H])[H])(N(C(=O)C(N(C(C(N(C(C(N(C(C(N(C(C(O1)(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])=O)[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])=O)C([H])([H])[H])(C(C([H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])[H])=O)C([H])([H])[H])([H])[H])=O)[H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])C([H])([H])[H])[H])=O)[H])(C([H])([H])[H])[H])(O[H])[H])([H])[H])[H])C([H])([H])[H]
12,000089578.csv,000089578.pickle,000089578,C(=O)(O[H])C(C(F)(F)F)(F)[H]
23,010022046.csv,010022046.pickle,010022046,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])C(=O)[H])[H])[H])[H])[H])[H])[H])OC([H])([H])[H]
25,020096439.csv,020096439.pickle,020096439,C1(=C(C(=C(C(=C1[H])[H])C(C([H])([H])[H])(C(C(O[H])=O)([H])[H])[H])[H])[H])[H]
30,000011681.csv,000011681.pickle,000011681,C(SC(Cl)([H])[H])([H])([H])[H]
31,010021731.csv,010021731.pickle,010021731,C1(=C(C(=C2C(C(=C1C([H])([H])[H])[H])=C(C(=C2[H])[H])[H])[H])[H])[H]
32,020096522.csv,020096522.pickle,020096522,C(C1(C(=O)C(C1=O)(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])([H])([H])[H]
