Original_SMILES,Canonical_SMILES,Source_Dataset,Chemical_Formula,Total_Representations,NMR_Type,Source_ID
NC(=O)NC1NC(=O)NC1=O,NC(=O)NC1NC(=O)NC1=O,drug,C4H6N4O3,2,1D,NC(=O)NC1NC(=O)NC1=O
C1(N(C(C(N1[H])(N(C(N([H])[H])=O)[H])[H])=O)[H])=O,NC(=O)NC1NC(=O)NC1=O,nmrdb,C4H6N4O3,2,1D,10016341
OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,drug,C12H22O11,2,"2D, 1D",OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,hsqc,C12H22O11,2,"2D, 1D",09262.csv
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,drug,C18H32O16,1,1D,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],CCCCCCCCO,NPNMR,C8H18O,3,1D,NP0000037
CCCCCCCCO,CCCCCCCCO,drug,C8H18O,3,1D,CCCCCCCCO
C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(O[H])([H])[H],CCCCCCCCO,nmrdb,C8H18O,3,1D,10008666
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,drug,C12H20O7,1,1D,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
CC(=O)N[C@@H](CCC(N)=O)C(O)=O,CC(=O)N[C@@H](CCC(N)=O)C(=O)O,NPNMR,C7H12N2O4,3,"2D, 1D",NP0000060
