Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C#C,C#C,NPNMR,NP0046540
OCCC#CC#CC#C,C#CC#CC#CCCO,NPNMR,NP0049282
O=CC#C,C#CC=O,NPNMR,NP0087640
O=CCC#C,C#CCC=O,NPNMR,NP0087655
OCC(O)CC(O)CCCCCCCCCCCC#C,C#CCCCCCCCCCCCC(O)CC(O)CO,NPNMR,NP0048245
CC(=O)OCC(O)CC(O)CCCCCCCCCCCC#C,C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,NPNMR,NP0144832
OCCC#C,C#CCCO,NPNMR,NP0002711
[H][C@](N)(CCC#C)C(O)=O,C#CCC[C@H](N)C(=O)O,NPNMR,NP0213762
OCC#C,C#CCO,NPNMR,NP0002712
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C#C[H],C#CC[C@H](N)C(=O)O,NPNMR,NP0021509
[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,NPNMR,NP0334715
C1CCC=CC1,C1=CCCCC1,NPNMR,NP0236864
C1CCCC=CCC1,C1=CCCCCCC1,NPNMR,NP0279903
C1CCC(CC1)NC1CCCCC1,C1CCC(NC2CCCCC2)CC1,NPNMR,NP0146736
C1CCC(CC1)SSC1CCCCC1,C1CCC(SSC2CCCCC2)CC1,NPNMR,NP0337300
C1NCC2CCCCC12,C1CCC2CNCC2C1,NPNMR,NP0140018
[H][C@]12CN3CCCC[C@@]3([H])[C@]([H])(CN3CCCC[C@]13[H])C2,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,NPNMR,NP0068401
C1CCOC1,C1CCOC1,NPNMR,NP0001090
C1CC2NCCCN2C1,C1CNC2CCCN2C1,NPNMR,NP0046395
C1CNCCN1,C1CNCCN1,NPNMR,NP0334574
C1CO1,C1CO1,NPNMR,NP0045139
C1COCCO1,C1COCCO1,NPNMR,NP0269601
