,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
0,0,4001,[H]OC1(C([H])=O)C(C([H])=O)=C([H])C([H])([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])[H],,[H]OC1(C([H])=O)C(C([H])=O)=C([H])C([H])([H])C2([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C12C([H])([H])[H]
1,1,4002,[H]OC([H])([H])C1=C([H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C32C1([H])C([H])([H])[H],,[H]OC([H])([H])C1=C([H])C2(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C32C1([H])C([H])([H])[H]
2,2,4003,[H]C1=[N+]([O-])C(C([H])([H])[H])(C([H])([H])[H])N(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],,[H]C1=[N+]([O-])C(C([H])([H])[H])(C([H])([H])[H])N(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H]
3,3,4004,[H]OC1([H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])C1(OC(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],,[H]OC1([H])C([H])([H])C(C([H])=C([H])[H])(C([H])([H])[H])C([H])(C(=C([H])[H])C([H])([H])[H])C([H])([H])C1(OC(=O)C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H]
4,4,4006,[H]OC(=O)c1c(O[H])c(C([H])([H])[H])c(OC(=O)c2c(O[H])c(C([H])([H])[H])c(O[H])c([H])c2C(=C([H])C([H])([H])[H])C([H])([H])[H])c([H])c1C(=C([H])C([H])([H])[H])C([H])([H])[H],,[H]OC(=O)c1c(O[H])c(C([H])([H])[H])c(OC(=O)c2c(O[H])c(C([H])([H])[H])c(O[H])c([H])c2C(=C([H])C([H])([H])[H])C([H])([H])[H])c([H])c1C(=C([H])C([H])([H])[H])C([H])([H])[H]
5,5,4008,[H]OC(=O)C([H])(N([H])[H])C([H])([H])S(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],,[H]OC(=O)C([H])(N([H])[H])C([H])([H])S(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
6,6,4009,[H]Oc1c([H])c(O[H])c([H])c(C(=O)c2c(O[H])c([H])c(OC([H])([H])[H])c([H])c2OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c1[H],,[H]Oc1c([H])c(O[H])c([H])c(C(=O)c2c(O[H])c([H])c(OC([H])([H])[H])c([H])c2OC2([H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c1[H]
7,7,4010,[H]c1c([H])c([H])c2c(oc3c(OC([H])([H])[H])c([H])c4c(=O)c([H])c([H])c5c([H])c([H])c2c3c54)c1[H],,[H]c1c([H])c([H])c2c(oc3c(OC([H])([H])[H])c([H])c4c(=O)c([H])c([H])c5c([H])c([H])c2c3c54)c1[H]
8,8,4011,[H]C([H])([H])C1=C2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C2([H])C2([H])C([H])(C([H])([H])C1=O)C2(C([H])([H])[H])C([H])([H])[H],,[H]C([H])([H])C1=C2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C2([H])C2([H])C([H])(C([H])([H])C1=O)C2(C([H])([H])[H])C([H])([H])[H]
9,9,4012,[H]C1=C([H])C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])Oc2c([H])c([H])c3c4c([H])c([H])c([H])c([H])c4n([H])c3c21,,[H]C1=C([H])C(c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c([H])c2[H])Oc2c([H])c([H])c3c4c([H])c([H])c([H])c([H])c4n([H])c3c21
10,10,4015,[H]OC(=O)C([H])([H])C([H])([H])N1C([H])([H])SC(=S)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C1([H])[H],,[H]OC(=O)C([H])([H])C([H])([H])N1C([H])([H])SC(=S)N(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C1([H])[H]
11,11,4016,[H]OC(=O)C([H])([H])N1C([H])([H])SC(=S)N(C([H])([H])c2oc([H])c([H])c2[H])C1([H])[H],,[H]OC(=O)C([H])([H])N1C([H])([H])SC(=S)N(C([H])([H])c2oc([H])c([H])c2[H])C1([H])[H]
