,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
90,90,4137,[H]Oc1c([H])c([H])c2c(c1O[H])C(=O)c1c([H])c([H])c([H])c([H])c1C2=O,[H]Oc1c([H])c([H])c2c(c1O[H])C(=O)c1c([H])c([H])c([H])c([H])c1C2=O,[H]Oc1c([H])c([H])c2c(c1O[H])C(=O)c1c([H])c([H])c([H])c([H])c1C2=O
156,156,4257,[H]OC1([H])C([H])([H])C2([H])C([H])(C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H],[H]OC1([H])C([H])([H])C2([H])C([H])(C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H],[H]OC1([H])C([H])([H])C2([H])C([H])(C3([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C1([H])C([H])([H])[H])C2(C([H])([H])[H])C([H])([H])[H]
203,203,4320,[H]OC1(C(=O)OC([H])([H])[H])OC2([H])C([H])([H])C13C(=C([H])C(=O)C3([H])C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])OC(=O)C21O[H],[H]OC1(C(=O)OC([H])([H])[H])OC2([H])C([H])([H])C13C(=C([H])C(=O)C3([H])C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])OC(=O)C21O[H],[H]OC1(C(=O)OC([H])([H])[H])OC2([H])C([H])([H])C13C(=C([H])C(=O)C3([H])C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])OC(=O)C21O[H]
234,234,4366,[H]c1nc2c3c(n(C([H])([H])[H])c([H])c3c1[H])C(=O)C(N([H])[H])=C2Cl,[H]c1nc2c3c(n(C([H])([H])[H])c([H])c3c1[H])C(=O)C(N([H])[H])=C2Cl,[H]c1nc2c3c(n(C([H])([H])[H])c([H])c3c1[H])C(=O)C(N([H])[H])=C2Cl
247,247,4386,[H]OC12OC(=O)C(C([H])([H])[H])=C1C([H])([H])C1(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])OC31C2([H])[H],[H]OC12OC(=O)C(C([H])([H])[H])=C1C([H])([H])C1(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])OC31C2([H])[H],[H]OC12OC(=O)C(C([H])([H])[H])=C1C([H])([H])C1(C([H])([H])[H])C([H])(C([H])([H])[H])C([H])(OC(=O)C([H])=C(C([H])([H])[H])C([H])([H])[H])C([H])([H])C3([H])OC31C2([H])[H]
263,263,4413,[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H],[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H],[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H]
282,282,4448,[H]Oc1c2c(c3c(C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(=O)oc3c1C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])=C2[H],[H]Oc1c2c(c3c(C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(=O)oc3c1C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])=C2[H],[H]Oc1c2c(c3c(C([H])(OC(=O)C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(=O)oc3c1C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])OC(C([H])([H])[H])(C([H])([H])[H])C([H])=C2[H]
337,337,4550,[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H],[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H],[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H]
415,415,4681,[H]c1c([H])c([H])c([H])c([H])c1[H],[H]c1c([H])c([H])c([H])c([H])c1[H],[H]c1c([H])c([H])c([H])c([H])c1[H]
423,423,4700,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
