,Unnamed: 0,file,smiles
0,0,10019190,O1C2=C(C3(C1(C4(C(C(C3(C4([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])C(=C(C(=C2[H])[H])[H])[H]
1,3,10019275,C1(=NC(=C(C2=C1C(=C(C(=N2)C([H])([H])[H])[H])[H])C#N)N([H])[H])Br
2,4,20025776,C1(C2=C(N=C(N1[H])N([H])[H])N(N=C2[H])[H])=O
3,9,20171041,C1(=C(C(=C(C(=C1OC([H])([H])[H])[H])[H])C(C(C(O[H])([H])[H])([H])[H])=O)[H])Cl
4,10,20026308,C(=C(C(=C(C(Cl)([H])[H])[H])[H])[H])([H])[H]
5,11,90371,C1(=C(C(=C(C2=C1C(=C(N2C(=O)OC([H])([H])[H])C3(SC(C(C(S3)([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H])[H]
6,13,10016586,C1(=C(C(=C(C2=C1C(=C(C(=C2[H])[H])[H])C([H])([H])[H])[H])[H])[H])C([H])([H])[H]
7,15,20030841,C1(C(C(OC(C1([H])[H])([H])[H])(C([H])([H])[H])[H])([H])[H])(C([H])([H])[H])[H]
8,17,20146562,C1(=C(C2(C(C1(C([H])([H])[H])C([H])([H])[H])(C(C(C2=O)([H])[H])([H])[H])[H])[H])C([H])([H])[H])[H]
10,22,20182090,C=1(C(=C(C(=C(C1F)F)C#N)F)F)F
11,24,20026409,C(C(C(C(=O)C(=O)OC([H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
12,25,20230600,C(C(C(C(=O)N(O[H])[H])([H])[H])([H])[H])(=O)N(O[H])[H]
13,26,76427,C1(=NC(C(C1([H])[H])(C([H])([H])[H])[H])([H])[H])C([H])([H])[H]
14,27,20143965,C1(C(C(C(N2C1(C(C(C(C2(C([H])([H])[H])[H])([H])[H])=O)([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
15,28,10026068,C1(C(C2(C(C1(C(C2([H])[H])([H])N([H])[H])[H])([H])[H])[H])([H])[H])([H])[H]
17,30,20181697,C=1(C2=C(C(=C3C1C4(C(C(O3)([H])[H])(C=5C(O4)=C(C6=C(C5[H])OC(O6)([H])[H])[H])[H])[H])[H])OC(=C2[H])[H])[H]
20,34,8533,C1(C2(C(C3(C(C(C1([H])[H])([H])[H])(C(C(O3)=O)=C([H])[H])[H])[H])(C(C(C2([H])[H])=O)=C([H])[H])[H])[H])(C([H])([H])[H])O[H]
21,36,20224306,C=1(C(=C(C(=C(C1[H])C#CC(N(C(C(C([H])([H])[H])([H])[H])([H])[H])C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C(=O)C([H])([H])[H])[H]
22,38,20026405,C(C(C(C(Cl)(C(Cl)(C(=O)OC([H])([H])[H])[H])[H])([H])[H])([H])[H])([H])([H])[H]
23,39,21069,C1(N(C(=NC(=C1N([H])[H])N([H])[H])N(C(C=2C(=C(C(=C(C2[H])OC([H])([H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])C([H])([H])[H])=O
26,43,10024327,C(=C(Cl)C(=O)OC([H])([H])[H])(C(Cl)([H])[H])C([H])([H])[H]
28,45,10019238,C(C([Se]C(C(C(C(C(C(C(C(OC([H])([H])[H])=O)([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])([H])[H]
30,47,30100659,C1(=C(C(=C(C2=C1C(=C(N(C2=O)[H])C(OC(C([H])([H])[H])([H])[H])=O)O[H])[H])[H])[H])[H]
31,48,20224362,C1(C(C(C(C2(C1(C(C(C(C2(C(=C([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])O[H])([H])[H])=O)([H])[H])([H])[H]
32,49,20030886,C1(C(C(C(C1([H])[H])([H])[H])([H])[H])(C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])=O
33,51,20252986,C1(=C(C(=C(C(=C1[H])C(=C(C(=O)OC(C(C2=C(C(=C(C(=C2[H])O[H])O[H])[H])[H])([H])[H])(C(=O)O[H])[H])[H])[H])[H])O[H])O[H])[H]
34,53,20237240,C=1(C(=C(C(=C(C1[H])[H])C=2C(=C(C(=C(C2Cl)[H])[H])Cl)[H])O[H])O[H])[H]
35,56,90292,C1(C(C(C(=C2C1(C(C([H])([H])[H])(OC2(C([H])([H])[H])[H])C([H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H]
36,57,20143949,C1(=C(C(=C(C2=C1C(=C(C(=N2)[H])Br)[H])[N+](=O)[O-])[H])Cl)[H]
38,59,30100981,C1(C(C(=C(C(C1([H])[H])([H])[H])O[H])C(=O)OC([H])([H])[H])([H])[H])([H])[H]
39,61,20224363,C1(C(F)(F)F)=C(C(=NC=2OC(=C(C12)[H])C(=O)OC(C([H])([H])[H])([H])[H])C3=C(C(=C(S3)[H])[H])[H])[H]
41,66,20182710,C=1(C2=C(C(=C(C1[H])O[H])[H])C3=C(C(=NC(=C3[H])[H])C(=O)OC([H])([H])[H])N2[H])[H]
42,67,10024863,C1(=C(C(=C(C(=C1[H])[H])Cl)[H])[H])C(OC(=O)C([H])([H])[H])(C(C(=C([H])[H])[H])([H])[H])[H]
43,68,88883,C12=C(C3=C(C(=C(C(=C3[H])[H])[H])[H])N1[H])C(=C(N=C2C(C(C(O[H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H]
44,74,20230173,C=12C3=C(OC(C1C(=NC(=C2[H])C([H])([H])[H])[H])([H])[H])C(=C(C(=C3[H])[H])[H])C([H])([H])[H]
46,78,20052498,C1=2N=C(C(=C(C1=NC3(N2)C(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])N4C(C(C(C(C4([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])N5C(=C(N=C5[H])[H])[H]
47,79,20208562,S1C(=C(C(=C1[H])[H])C([H])([H])[H])C(O[H])=O
48,80,77195,C1(OC1(C(C(Cl)(Cl)Cl)([H])[H])[H])([H])[H]
49,81,20045308,C1(=C(C(=C(C(=C1[H])F)[H])O[H])[N+]([O-])=O)[H]
50,82,20025878,C1(N(C(N(C2=C1C(=NN2[H])[H])C([H])([H])[H])=O)[H])=O
52,85,20133651,C1(C(C2(C(C3(C1(O[H])[H])C(O2)(C(OC3=O)=C([H])[H])[H])(C([H])([H])[H])[H])[H])([H])[H])(O[H])[H]
53,87,20234075,C1(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=C(C(C1([H])[H])=C(C([H])([H])[H])C([H])([H])[H])[H]
54,88,20036243,C1(C(C(C(N1C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(O[H])[H])([H])[H]
55,90,30000608,C(C(S(=O)O[H])([H])[H])([H])([H])[H]
