,Unnamed: 0,file,smiles
0,2,20209844,ClC(Cl)(C(Cl)([H])[H])C#N
5,64,60004113,C1(O[H])(C2(C(C3(C(C4(C(C(C3(O[H])[H])([H])[H])(C(C(O[H])(C(C4([H])[H])([H])[H])[H])([H])[H])[H])C([H])([H])[H])(C1([H])[H])[H])[H])(C(C(C2(C(C(C(C(C(C(OS(O[H])(=O)=O)([H])[H])(C(O[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])([H])[H])([H])[H])[H])C([H])([H])[H])[H]
6,69,60005965,C(C(C(C(C(=C(C(O[H])=O)[H])[H])([H])[H])([H])[H])(OC1(OC(C([H])([H])[H])(C(O[H])(C(C1(O[H])[H])([H])[H])[H])[H])[H])[H])([H])([H])[H]
8,91,20026262,C(Cl)(C([H])([H])[H])(C([H])([H])[H])C(C([H])([H])[H])([H])[H]
10,115,20207361,S(O[H])(=O)(=O)C1=C(C(=C(C([N+]([O-])=O)=C1[H])[H])[H])C([H])([H])[H]
13,129,20209788,O(C(C([H])([H])[H])([H])[H])C(=O)C#CC(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
16,157,10024609,C=1(C(=C(C(=C(C1OC(C(=C([H])[H])[H])([H])[H])Br)[H])[H])[H])[H]
17,163,10022502,C=1(C(=C(C(=C(C1OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(OC([H])([H])[H])(OC([H])([H])[H])[H])OC(C(C([H])([H])[H])([H])[H])([H])[H])[H])C(=O)[H]
18,166,20209515,O(C(C([H])([H])[H])([H])[H])C(=O)C#CC(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H]
21,184,10021961,C1(=C(C(=C(C(=C1[H])[H])C(=C(C=2C(C(C(C2C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])[H]
26,225,20201380,C(C([H])([H])[H])(C(C(C([H])([H])[H])([H])[H])=C(C([H])([H])[H])[H])([H])[H]
27,254,10021807,C1(=C(C(=C(C2=C1C(=C(N2[H])[H])[H])[H])F)[H])[H]
34,314,10016180,N1(C(C(=C(C1=O)[H])[H])=O)[H]
35,322,10021644,C(C(OC(=O)C(=C(I)[H])[H])([H])[H])([H])([H])[H]
36,330,10022082,C1(=C(C(SS1)=S)C2=C(C(=C(C(=C2[H])[H])S(C([H])([H])[H])(=O)=O)[H])[H])C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H]
