,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
20146,20146,4539,,[H]C(=C(C#N)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H],[H]C(=C(C#N)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H]
20147,20147,4540,,[H]C1=C([H])C(=O)C(C([H])=C([H])c2c([H])c([H])nc(-c3nc([H])c([H])c(C([H])([H])[H])c3[H])c2[H])=C([H])C1=O,[H]C1=C([H])C(=O)C(C([H])=C([H])c2c([H])c([H])nc(-c3nc([H])c([H])c(C([H])([H])[H])c3[H])c2[H])=C([H])C1=O
20148,20148,4541,,[H]c1c([H])c(C(C#N)=C(C#N)C#N)c([H])c2c1OC([H])([H])O2,[H]c1c([H])c(C(C#N)=C(C#N)C#N)c([H])c2c1OC([H])([H])O2
20149,20149,4542,,[H]c1c([H])c([H])c(C(=S)N([H])N([H])C(=O)C([H])([H])Oc2c([H])c(C([H])([H])[H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C(=S)N([H])N([H])C(=O)C([H])([H])Oc2c([H])c(C([H])([H])[H])c([H])c([H])c2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
20150,20150,4701,,[H]C([H])([H])OS(=O)(=O)C([H])([H])[H],[H]C([H])([H])OS(=O)(=O)C([H])([H])[H]
20151,20151,4722,,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
20152,20152,4743,,[H]OC(=O)c1c([H])oc(=O)c([H])c1[H],[H]OC(=O)c1c([H])oc(=O)c([H])c1[H]
20153,20153,4747,,[H]C(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[H]C(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
20154,20154,4754,,[H]c1sc([H])c([N+](=O)[O-])c1[H],[H]c1sc([H])c([N+](=O)[O-])c1[H]
20155,20155,4755,,[H]OC(=O)c1oc(C([H])([H])C([H])([H])[H])c([H])c1[H],[H]OC(=O)c1oc(C([H])([H])C([H])([H])[H])c([H])c1[H]
20156,20156,4775,,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1c([H])c([H])c([H])c1[H],[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1c([H])c([H])c([H])c1[H]
20157,20157,4776,,[H]c1oc(C(=O)C([H])([H])C([H])([H])[H])c([H])c1[H],[H]c1oc(C(=O)C([H])([H])C([H])([H])[H])c([H])c1[H]
20158,20158,4791,,[H]C1([H])OC2(OC1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H],[H]C1([H])OC2(OC1([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H]
20159,20159,4796,,[H]OC([H])([H])C([H])([H])F,[H]OC([H])([H])C([H])([H])F
20160,20160,4798,,[H]OC([H])([H])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([H])(F)F,[H]OC([H])([H])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C([H])(F)F
20161,20161,4836,,[H]C([H])(Cl)C([H])(Cl)C([H])(Cl)C([H])([H])Cl,[H]C([H])(Cl)C([H])(Cl)C([H])(Cl)C([H])([H])Cl
20162,20162,4886,,[H]c1c([H])c([H])c2c(sc3c2sc2c([H])c([H])c([H])c([H])c23)c1[H],[H]c1c([H])c([H])c2c(sc3c2sc2c([H])c([H])c([H])c([H])c23)c1[H]
20163,20163,4890,,[H]C([H])([H])C([H])(SSC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],[H]C([H])([H])C([H])(SSC([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H]
20164,20164,4925,,[H]C([H])([H])C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H],[H]C([H])([H])C(=O)C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
20165,20165,4929,,[H]OC([H])=O,[H]OC([H])=O
20166,20166,4930,,[H]OC(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[H]OC(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
20167,20167,4933,,[H]OC(=O)C([H])(C(=O)O[H])C([H])([H])C([H])([H])[H],[H]OC(=O)C([H])(C(=O)O[H])C([H])([H])C([H])([H])[H]
20168,20168,4944,,[H]C([H])([H])OS(=O)OC([H])([H])[H],[H]C([H])([H])OS(=O)OC([H])([H])[H]
20169,20169,4946,,[H]C([H])([H])OS(=O)(=O)F,[H]C([H])([H])OS(=O)(=O)F
20170,20170,4947,,[H]C([H])([H])OS(=O)(=O)C(F)(F)F,[H]C([H])([H])OS(=O)(=O)C(F)(F)F
20171,20171,4948,,[H]C([H])([H])C([H])([H])OS(=O)(=O)F,[H]C([H])([H])C([H])([H])OS(=O)(=O)F
20172,20172,4957,,[H]c1c([H])c([H])c(C(N=C=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[H]c1c([H])c([H])c(C(N=C=NC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
20173,20173,4958,,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N=C=Nc1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1N=C=Nc1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
20174,20174,4959,,[H]c1c([H])c([H])c(C([H])([H])SC#N)c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])SC#N)c([H])c1[H]
20175,20175,4963,,[H]c1c([H])c(C([H])([H])C#N)c([H])c([H])c1C([H])([H])C#N,[H]c1c([H])c(C([H])([H])C#N)c([H])c([H])c1C([H])([H])C#N
20176,20176,4964,,[H]c1c([H])c(C([H])(C#N)C([H])([H])[H])c([H])c([H])c1Cl,[H]c1c([H])c(C([H])(C#N)C([H])([H])[H])c([H])c([H])c1Cl
20177,20177,4965,,[H]OC(=O)C([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H],[H]OC(=O)C([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])[H]
20178,20178,4991,,[H]c1c([H])c(C(=O)Cl)c([H])c([H])c1C(=O)Cl,[H]c1c([H])c(C(=O)Cl)c([H])c([H])c1C(=O)Cl
20179,20179,4992,,[H]c1c([H])c([H])c(C([H])(Cl)C(=O)Cl)c([H])c1[H],[H]c1c([H])c([H])c(C([H])(Cl)C(=O)Cl)c([H])c1[H]
20180,20180,4993,,[H]c1c([H])c([H])c(OC([H])([H])C(=O)Cl)c([H])c1[H],[H]c1c([H])c([H])c(OC([H])([H])C(=O)Cl)c([H])c1[H]
20181,20181,4994,,[H]c1c([H])c([H])c(N(C(=O)Cl)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[H]c1c([H])c([H])c(N(C(=O)Cl)c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
20182,20182,4996,,[H]c1c(C#N)c([H])c([N+](=O)[O-])c(Cl)c1[N+](=O)[O-],[H]c1c(C#N)c([H])c([N+](=O)[O-])c(Cl)c1[N+](=O)[O-]
20183,20183,5000,,[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C#N)c1C([H])([H])[H],[H]c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c(C#N)c1C([H])([H])[H]
20184,20184,5002,,[H]c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1C#N,[H]c1c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1C#N
20185,20185,5004,,[H]c1c(Cl)c([H])c(C#N)c([H])c1Cl,[H]c1c(Cl)c([H])c(C#N)c([H])c1Cl
20186,20186,5005,,[H]Oc1c([H])c(O[H])c(C(=O)OC([H])([H])[H])c(O[H])c1[H],[H]Oc1c([H])c(O[H])c(C(=O)OC([H])([H])[H])c(O[H])c1[H]
20187,20187,5009,,[H]c1c([H])c([H])c(OC(=O)Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[H]c1c([H])c([H])c(OC(=O)Oc2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
20188,20188,5021,,[H]c1c([H])c([H])c(C([H])([H])C(=O)N([H])N([H])[H])c([H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C(=O)N([H])N([H])[H])c([H])c1[H]
20189,20189,5022,,[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])C(=O)N([H])C(=S)N2[H])c([H])c1[H],[H]c1c([H])c([H])c(C2(c3c([H])c([H])c([H])c([H])c3[H])C(=O)N([H])C(=S)N2[H])c([H])c1[H]
