,Unnamed: 0.1,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
5,263,263,4413,[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H],[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H],[H]Oc1c([H])c(O[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c2c1C(=O)c1c(O[H])c([H])c(C([H])([H])[H])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c1C2([H])O[H]
7,337,337,4550,[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H],[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H],[H]c1nc(Cl)c(C(=O)OC([H])([H])C([H])([H])[H])nc1[H]
8,415,415,4681,[H]c1c([H])c([H])c([H])c([H])c1[H],[H]c1c([H])c([H])c([H])c([H])c1[H],[H]c1c([H])c([H])c([H])c([H])c1[H]
9,423,423,4700,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
11,425,425,4703,[H]SC([H])([H])[H],[H]SC([H])([H])[H],[H]SC([H])([H])[H]
12,426,426,4704,[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H],[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H],[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H]
13,429,429,4707,[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],[H]N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H]
14,430,430,4708,[H]OC(=O)C([H])([H])C([H])([H])[H],[H]OC(=O)C([H])([H])C([H])([H])[H],[H]OC(=O)C([H])([H])C([H])([H])[H]
15,431,431,4709,[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H]
19,435,435,4715,[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],[H]OC([H])([H])C([H])(O[H])C([H])([H])[H]
21,438,438,4719,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
22,441,441,4723,[H]C([H])=C([H])OC(=O)C([H])([H])[H],[H]C([H])=C([H])OC(=O)C([H])([H])[H],[H]C([H])=C([H])OC(=O)C([H])([H])[H]
23,442,442,4724,[H]C([H])=C([H])C(=O)OC([H])([H])[H],[H]C([H])=C([H])C(=O)OC([H])([H])[H],[H]C([H])=C([H])C(=O)OC([H])([H])[H]
24,443,443,4725,[H]C([H])=C([H])S(=O)(=O)C([H])=C([H])[H],[H]C([H])=C([H])S(=O)(=O)C([H])=C([H])[H],[H]C([H])=C([H])S(=O)(=O)C([H])=C([H])[H]
25,444,444,4726,[H]OC(=O)C([H])=C([H])C(=O)O[H],[H]OC(=O)C([H])=C([H])C(=O)O[H],[H]OC(=O)C([H])=C([H])C(=O)O[H]
26,450,450,4739,[H]C1=C([H])C([H])([H])C([H])=C([H])C1([H])[H],[H]C1=C([H])C([H])([H])C([H])=C([H])C1([H])[H],[H]C1=C([H])C([H])([H])C([H])=C([H])C1([H])[H]
27,451,451,4740,[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C1[H],[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C1[H],[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C1[H]
28,452,452,4741,[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C1([H])[H],[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C1([H])[H],[H]C1=C([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C1([H])[H]
29,453,453,4742,[H]C1=C([H])C([H])([H])OC1([H])[H],[H]C1=C([H])C([H])([H])OC1([H])[H],[H]C1=C([H])C([H])([H])OC1([H])[H]
30,456,456,4748,[H]C(=O)C([H])=C([H])[H],[H]C(=O)C([H])=C([H])[H],[H]C(=O)C([H])=C([H])[H]
31,457,457,4752,[H]c1nc([H])n(C([H])([H])[H])c1[H],[H]c1nc([H])n(C([H])([H])[H])c1[H],[H]c1nc([H])n(C([H])([H])[H])c1[H]
