,File_name,SMILES,sugar,solvent_class,Molecular_Weight,Num_Atoms,MW class
0,18208.csv,C[C@H]1C[C@@H](CC(=O)O[C@H]([C@@H]([C@H](C/C=C/C2=NC(=CO2)C3=NC(=CO3)C4=NC(=CO4)[C@@H]([C@H]([C@@H](C1)O)C)OC)OC)C)C[C@H]([C@@H](C)CCC(=O)[C@H](C)[C@@H]([C@H](C)/C=C/N(C)C=O)OC)OC)OC(=O)N,0,4,942.117,138,medium
1,09858.csv,CNCCC1=CNC2=CC=CC=C21,0,0,174.247,27,small
2,19696.csv,CCCCCC/C=C\[N+](=N[C@@H](COC)[C@H](C)O)[O-],0,1,258.362,44,small
3,19696.csv,CCCCCC/C=C\[N+](=N[C@@H](COC)[C@H](C)O)[O-],0,0,258.362,44,small
4,25091.csv,CCCCCC/C=C\[N+](=N[C@@H](COC)[C@H](C)O)[O-],0,1,258.362,44,small
5,20346.csv,CC1=C[C@@H](OC1=O)O/C=C/2\[C@H]3CC4=C([C@H]3OC2=O)[C@](CCC4)(C)CO,0,8,346.379,47,small
6,04483.csv,C1=CN=CC=C1/C=C(/C(=O)O)\O,0,1,165.148,19,small
7,01846.csv,C1CN2CCC(C2C1CO)O,0,5,157.213,26,small
8,01846.csv,C1CN2CCC(C2C1CO)O,0,6,157.213,26,small
9,08571.csv,C[C@H]1[C@@H]2[C@@H]([C@H]3[C@]([C@H]1C(=O)O2)(C(=O)C=C4[C@@]3(C(=O)C(=C4C)Cl)C)C)O,0,6,350.798,43,small
10,21017.csv,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,0,1,422.342,48,small
11,09045.csv,CCCCCCCC/C=C\CCCCCCCCOC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,0,0,681.143,129,medium
12,09116.csv,C1CC2CCC1C=C2,0,0,108.184,20,small
13,09138.csv,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O,0,0,294.398,44,small
14,09198.csv,C1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O,0,1,150.13,20,small
15,09198.csv,C1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O,0,7,150.13,20,small
16,09256.csv,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,1,7,342.297,45,small
17,09327.csv,CC1=CC(=O)NC(=S)N1,0,1,142.183,15,small
18,09336.csv,C1=CC(=C[N+](=C1)[O-])C(=O)O,0,1,139.11,15,small
19,35375.csv,C1=CC=C2C(=C1)C=CC(=O)N2,0,1,145.161,18,small
20,09382.csv,CC(=O)N[C@H](CC1=CC=CC=C1)C(=O)O,0,1,207.229,28,small
21,09446.csv,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,0,0,232.283,33,small
22,09455.csv,CC[C@H](C)[C@@H](C(=O)O)NS(=O)(=O)C1=CC=CC2=C1C=CC=C2N(C)C,0,0,364.467,49,small
23,09513.csv,CSC[C@@H](C(=O)O)N,0,7,135.188,17,small
24,09556.csv,C[C@H](CCC(=O)O)C(=O)O,0,1,146.142,20,small
25,34205.csv,CC(=CCCC1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)C,0,0,272.3,36,small
26,09656.csv,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3)O)O,0,1,240.214,26,small
27,34609.csv,C1=CC=C(C=C1)CNC=O,0,0,135.166,19,small
28,34609.csv,C1=CC=C(C=C1)CNC=O,0,1,135.166,19,small
29,09747.csv,CCOC(=O)[C@@H](CCC1=CC=CC=C1)O,0,0,208.257,31,small
30,09770.csv,CC1CCC(=O)O1,0,0,100.117,15,small
31,09842.csv,C1=CC(=C(C=C1O)C(=O)O)O,0,1,154.121,17,small
32,09842.csv,C1=CC(=C(C=C1O)C(=O)O)O,0,7,154.121,17,small
33,09949.csv,COC1=CC2=C(C=C1)NC(=S)N2,0,1,180.232,20,small
34,09990.csv,CC1=C(C=CC(=C1)OC)[N+](=O)[O-],0,0,167.164,21,small
35,10013.csv,C[C@]12CCC[C@]3(C1[C@@H](C[C@]([C@@]3(CCC4=COC=C4)O)(C)O)OC2=O)C,0,0,348.439,53,small
36,10071.csv,C[C@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)NC,0,3,477.603,76,small
37,10071.csv,C[C@H]([C@@H]1CC[C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)NC,0,7,477.603,76,small
38,10261.csv,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2OC(=O)/C=C/C3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,1,5,624.592,80,medium
39,10379.csv,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,0,1,354.311,43,small
40,10391.csv,C[C@@]12CC[C@]3(CCC(C=C3[C@H]1CC[C@H]4[C@]2(CC[C@@H]5[C@@]4(CCC(=O)C5(C)C)C)C)(C)C)C(=O)O,0,0,454.695,79,small
41,11201.csv,CC(C)C1=C(C2=CC(=O)[C@@H]3[C@@](C2=C(C1=O)O)(CCCC3(C)C)C)OC,0,0,344.451,53,small
42,02288.csv,CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O[C@H]3C[C@@]([C@H]([C@@H](O3)C)O)(C)O)N(C)C)O)CC=O)C)\C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC,0,0,916.112,141,medium
43,11570.csv,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(C[C@H]([C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O,1,6,1121.274,166,large
44,11680.csv,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@H]([C@@H](O[C@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C)O[C@H]4CC[C@@]5([C@H]6CC[C@@]7([C@H](CC[C@@]7([C@@H]6CCC5=C4)O)C8=COC(=O)C=C8)C)C)O)O)O)O,1,5,838.941,121,medium
45,11762.csv,CC1=CC(=O)C2=C(O1)C=C3C=C(C(=C(C3=C2O)OC)C4=C5C(=C(C6=C4C=C(C=C6OC)OC)O)C(=O)C=C(O5)C)OC,0,0,570.55,68,medium
46,13102.csv,C[C@@H]1CC[C@@H]2C(=CC[C@H](C(O2)(C)C)O)[C@]1(C)CC[C@@]34[C@H](CC[C@@H]([C@]3(C)CCC(=O)C(C)C)O4)C,0,0,474.726,84,small
47,13656.csv,CC(CCC(C(C)(C)O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C3CCC4(C3(CC(=O)C5(C4CC=C6C5CCC(C6(C)C)O)C)C)C,1,6,799.008,126,medium
48,01321.csv,C[C@H]1CO[C@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5([C@@H](C[C@@H](C6)O)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O[C@H]2[C@@H]([C@](CO2)(CO)O)O)O)C)C)CO)[C@H]([C@H]1O)O,1,6,1021.113,147,large
49,01533.csv,C1C2=C(C(=C3C=C4C(=CC3=C2)OCO4)C5=CC6=C(C=C5)OCO6)C(=O)O1,0,0,348.31,38,small
